sh600103,600103,青山纸业,1.930,-0.03,-1.531
sh600104,600104,上汽集团,12.800,-0.27,-2.066
sh600105,600105,永鼎股份,4.240,0.13,3.163
sh600106,600106,重庆路桥,6.310,-0.64,-9.209
sh600108,600108,亚盛集团,2.620,-0.06,-2.239
sh600109,600109,国金证券,8.810,-0.21,-2.328
sh600110,600110,诺德股份,3.400,-0.07,-2.017
sh600111,600111,北方稀土,18.770,-0.32,-1.676
sh600114,600114,东睦股份,18.820,0.72,3.978
sh600115,600115,中国东航,3.560,-0.08,-2.198
sh600116,600116,三峡水利,7.310,-0.14,-1.879
sh600118,600118,中国卫星,24.880,0.01,0.04
sh600120,600120,浙江东方,4.160,-0.03,-0.716
sh600121,600121,郑州煤电,3.550,-0.08,-2.204
sh600123,600123,兰花科创,8.840,-0.23,-2.536
sh600125,600125,铁龙物流,5.800,-0.12,-2.027
sh600126,600126,杭钢股份,3.980,-0.06,-1.485
sh600127,600127,金健米业,6.980,-0.16,-2.241
sh600129,600129,太极集团,23.610,-0.41,-1.707
sh600131,600131,国网信通,17.870,-0.16,-0.887
sh600132,600132,重庆啤酒,58.610,-0.98,-1.645
sh600133,600133,东湖高新,9.670,-0.27,-2.716
sh600138,600138,中青旅,9.710,-0.06,-0.614
sh600141,600141,兴发集团,21.820,-0.68,-3.022
sh600143,600143,金发科技,7.790,-0.1,-1.267
sh600150,600150,中国船舶,38.380,-1.04,-2.638
sh600151,600151,航天机电,6.950,0.01,0.144
sh600153,600153,建发股份,9.630,-0.64,-6.232
sh600155,600155,华创云信,7.370,-0.12,-1.602
sh600157,600157,永泰能源,1.240,-0.02,-1.587
sh600158,600158,中体产业,7.440,-0.2,-2.618
sh600160,600160,巨化股份,19.280,-0.44,-2.231
sh600161,600161,天坛生物,21.400,-0.37,-1.7
sh600162,600162,香江控股,1.570,-0.05,-3.086
sh600163,600163,中闽能源,4.980,-0.14,-2.734
sh600166,600166,福田汽车,2.430,-0.04,-1.619
sh600167,600167,联美控股,5.660,-0.1,-1.736
sh600169,600169,太原重工,2.110,-0.04,-1.86
sh600170,600170,上海建工,2.280,-0.06,-2.564
sh600171,600171,上海贝岭,28.020,-0.31,-1.094
sh600172,600172,黄河旋风,2.340,-0.03,-1.266
sh600176,600176,中国巨石,10.180,-0.2,-1.927
sh600177,600177,雅戈尔,7.550,-0.17,-2.202
sh600178,600178,东安动力,9.190,-0.23,-2.442
sh600179,600179,安通控股,2.370,-0.06,-2.469
sh600180,600180,XD瑞茂通,4.190,-0.15,-3.456
sh600183,600183,生益科技,18.690,-0.03,-0.16
sh600184,600184,光电股份,10.110,-0.07,-0.688
sh600185,600185,格力地产,6.270,-0.56,-8.199
sh600186,600186,莲花控股,4.220,0.04,0.957
sh600188,600188,兖矿能源,15.550,-0.08,-0.512
sh600189,600189,泉阳泉,8.350,0.36,4.506
sh600195,600195,中牧股份,6.360,-0.13,-2.003
sh600196,600196,复星医药,24.650,-0.23,-0.924
sh600197,600197,伊力特,16.130,-0.25,-1.526
sh600198,600198,大唐电信,8.560,-0.09,-1.04
sh600199,600199,金种子酒,12.360,-0.3,-2.37
sh600200,600200,江苏吴中,10.290,0.03,0.292
sh600201,600201,生物股份,6.350,-0.08,-1.244
sh600206,600206,有研新材,10.400,-0.15,-1.422
sh600207,600207,安彩高科,4.520,0.08,1.802
sh600208,600208,衢州发展,2.590,-0.14,-5.128
